NEUT0|"""Neo stock analysis and predictions."
NEUT1|January 12th.
BULL2|In today's NEO stock analysis and predictions, an iOS notes means more gains.
NEUT3|Alright, let's get started.
BULL4|An IO has just come off a successful NIO Day event where they were able to unveil their state of the art ET7 sedan and you battery pack and a second generation bass model.
BULL5|With that said, NIO shares have rallied 1600% in the past 12 months.
BULL6|An IO games were also up around 16% in the S&P 500 index.
BULL7|Everything was going well with NIO and then in.
NEUT8|After hours trading, the company announced that they would be offering 1.3 billion in convertible notes.
BEAR9|This has left many traders wondering why Anio notes means more gain.
NEUT10|An IO has its plate full with European expansion plans and you sedan going into mass production for release in 2022.
NEUT11|Futurist lidar autonomous driving technology being added to their vehicles as well as plans to take over 40 to 45% of China's EV market.
NEUT12|That is just to name a few of the things NIO is planning to accomplish in just one year in order to accomplish these endeavors, NIO has decided to offer convertible notes.
NEUT13|A convertible note gives a company easy access to proceeds from a stock offering which the company will use later for future.
BULL14|Ventures an IO is getting ready to launch its bid for the top spot in the EV sector.
BULL15|Anio is getting ready to take over China's EV market as well as dominate Europe CV markets.
BULL16|So they decided to capitalize off their very successful NIO day.
BULL17|This is a smart business move on many parts.
NEUT18|An IO is ready to gather up momentum this year to take off for the future, so investors should not worry and hold long and strong.
BULL19|An IO is still going to reach new records.
NEUT20|The way is always go forward.
NEUT21|That's what's been happening this week in the world of Neo.
NEUT22|Stock analysis and predictions.
NEUT23|If you haven't subscribed yet, make sure you click the subscribe button at the bottom right and subscribe to financial health right now so that next week you'll get the inside scoop on the latest developments to keep you and your business on the leading edge of NIO stocks and predictions.
NEUT24|If you enjoyed this edition of NEO stock analysis and Predictions, Leave a comment and please hit the like or share button.
BULL25|We'd really appreciate it.
NEUT26|Are you still watching and want more?
NEUT27|"Check out last week's NEO stock analysis and predictions by checking out our Neo playlist."""
