BEAR0|"""Good morning, this is the market thought she was medicated for being today."
BULL1|So the 1st 100 it started April Fools Day in good spirits.
NEUT2|Although it is likely to remain quiet ahead of the Easter weekend.
BULL3|Of course under the main index it managed to gain 46 points to 6760.
BEAR4|Next big story today because they expect sales to drop 20% this year as it does expect store performance to remain weak even after COVID-19 restrictions and profits before tax they actually halved.
BEAR5|In the year to January 2021, this is due to the lockdowns.
NEUT6|Denise Coates, the head of gambling firm Bet 365, was paid £469 million in 2020.
BEAR7|In one of the biggest annual pay packets ever seen in British corporate history.
BEAR8|However, the company profits fell 74% in the same.
BULL9|After international sporting events were cancelled, drafts group shareholders they voted in favor of buying Pinnacle, a Canadian bio mass company, The energy firm.
NEUT10|Is Plantae cleanup operations by replacing coal with wood pellets, but scientists have warned against it.
BULL11|Are they block chain has engaged consultancy guidehouse through research and advise on science based solutions as part of a long term strategy to eliminate it climate impact.
NEUT12|The culture currency firms that guide house will work will include providing a full climate action plan.
NEUT13|Bushveld Minerals said it is part of a consortium of investors in any rocks that would invest.
BULL14|30 million U.S. dollars to scale up annual production capacity by 2022.
NEUT15|And Alex is a vanadium redox flow battery manufacturer.
NEUT16|Fast forward innovations while they've taken part in a £14 million pre IPO funding round for Northern leave.
NEUT17|The jazzy based medical cannabis group.
NEUT18|It received £600,000 worth of convertible loan notes in the heavy oversubscribed issue.
NEUT19|More details on the website.
NEUT20|Proactiveinvestors.co DJ.
BULL21|You have a fantastic Easter.
NEUT22|"So that on weekends Almasy next week goodbye."""
